ID,QuestionnaireVersion,RawAge,Gender,Age,AgeGenCat,AgeSup,AgeGenSup,Maj.Clin,ClinCourse,Major,Etio.Bipolar,Etio.ChildD,Etio.Dep,Etio.General,Treat.AnxD,Treat.Dem,Treat.General,Treat.Schiz,Treat.Suicide,Gen.AnxD,Gen.AnxMeds.01,Gen.AnxMeds.02,Gen.EatD,Gen.General.01,Gen.General.02,Gen.SubsD,Gen.Suicide,Symp.AnxD.01,Symp.AnxD.02,Symp.Bipolar.01,Symp.Bipolar.02,Symp.ChildD,Symp.Dem,Symp.Dep,Symp.EatD,Symp.Gender,Symp.OCD,Symp.PersD.01,Symp.PersD.02,Symp.PTSD,Symp.Schiz,Symp.Sexual,Symp.SomSymD
898,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,R,W,R,R,R,W,R,W,R,W,R,R,R,R,R,R,W,W,R,W,R,R,R,W,R,R,R,W,R,R
908,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,W,W,R,R,R,W,R,R,R,R,R,W,R,W,W,R,R,W,W,W,R,R,W,W,R,W,W,R,W,W,R,R
941,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,W,W,R,W,W,W,W,W,W,W,W,W,R,W,W,R,W,R,W,R,W,W,W,W,R,W,W
1038,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,R,W,W,R,W,W,W,R,W,W,R,W,R,W,W,W,W,R,W,W,W,R,W,W,W,W,W,R,R
1040,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,W,R,R,W,W,W,R,W,W,R,W,W,W,W,R,W,W,W,R,W,R,R,W,W,R,W,W,R
1154,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,W,R,R,R,R,R,R,W,R,R,R,R,W,W,R,R,R,R,R,W,R,W,W,R,R,W,W,W,W,W,W,R
1194,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,R,W,W,R,W,W,W,W,W,W,R,W,W,R,W,W,W,W,W,W,W,R,R,W,W,W,R,W,R,W
1210,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,R,W,R,R,R,W,W,R,R,W,W,R,W,W,W,W,R,R,W,R,W,W,R,W,W,W,W
1258,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,W,W,R,W,W,W,R,W,R,R,R,R,R,W,W,W,W,W,R,W,R,W,R,R,R,W,R,W
79,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,R,R,R,W,W,R,R,R,W,W,R,W,R,W,R,W,W,R,W,R,W,R,W,W,R,W,R,R,R
81,A1,19,Male,18-24,18-24.M,18-20,18-20.M,Psyc.NoClin,NoClin,Psyc,R,R,R,W,R,R,R,R,R,R,R,W,W,R,R,R,R,R,R,W,R,W,W,R,R,R,R,R,R,R,R,R,R
95,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,R,R,R,R,W,R,W,R,W,R,R,W,R,R,R,W,W,R,W,R,R,R,R,W,R,W,R,W,R
112,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,W,R,R,R,W,W,R,W,R,W,R,W,W,W,R,W,W,R,W,R,R,W,W,W,R,W,W,R,R
114,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,R,W,W,R,W,R,W,W,W,W,W,R,R,W,W,R,W,W,W,W,W,W,W,W,W,R,W,W,W
120,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,R,R,R,R,R,W,R,R,W,W,R,R,R,R,R,W,R,W,W,R,R,W,W,W,R,W,W,R,R
142,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,R,W,W,W,W,W,W,W,R,W,R,W,W,R,W,W,W,W,W,W,W,W,W,W,W,R,R
159,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,R,W,W,W,W,R,R,W,W,R,W,R,R,R,R,R,W,W,W,R,R,W,R,R,W,W,W,W
176,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,R,W,R,W,W,W,R,W,W,R,R,R,W,R,W,W,W,W,R,W,R,R,W,W,W,W,R,W
198,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,W,W,W,W,R,W,W,W,R,W,R,R,R,W,W,R,W,W,R,R,W,W,R,R,W,W,R
215,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,W,R,R,W,W,W,R,W,W,W,R,W,R,R,W,R,R,R,W,W,R,W,W,R,R,W,W,R,R
468,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,R,R,W,W,W,W,R,R,W,R,W,W,R,W,W,R,W,W,W,W,W,W,W,R,R,W,W,W,R
497,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,W,R,W,W,W,W,R,R,W,W,R,R,R,R,R,W,W,R,W,R,W,R,W,W,R,W,W,W,R
508,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,R,R,W,W,W,R,W,W,W,R,W,R,W,W,R,W,R
510,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,R,W,W,R,W,R,W,W,R,W,W,R,R,R,R,W,W,W,R,W,R,W,W,W,W,W,W,W,W,R
563,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.Clin,Clin,NonPsyc,R,W,R,W,R,R,R,R,W,R,R,R,R,R,W,R,R,R,R,R,R,R,W,R,W,R,R,R,R,W,R,R,W
593,A1,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,R,W,R,R,W,W,R,R,R,W,R,W,W,R,R,R,W,W,W,W,R,W,R,R,W,R,W,W,R,R
220,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,W,W,R,R,R,W,R,R,W,R,R,W,W,R,R,W,W,W,W,W,W,R,W,W,R,W,W,R,R
603,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,W,R,W,R,R,W,W,R,W,W,W,R,R,R,R,W,W,W,W,R,R,R,W,W,W,R,W,R,R
605,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,R,R,W,W,R,W,W,R,R,R,R,R,R,W,W,R,W,R,R,W,W,W,R,W,R,R,W
704,A2,19,Male,18-24,18-24.M,18-20,18-20.M,Psyc.Clin,Clin,Psyc,R,R,W,R,R,R,R,R,W,R,R,R,W,W,R,W,R,R,R,R,W,R,W,R,R,R,W,R,W,R,R,W,R
837,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,R,W,W,W,W,R,R,R
868,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,R,W,R,W,R,W,W,W,W,W,R,R,W,R,R,W,W,W,R,W,W,W,R,W,W,R,R,W,W,R
886,A2,19,Male,18-24,18-24.M,18-20,18-20.M,Psyc.Clin,Clin,Psyc,W,W,R,W,W,W,W,R,W,W,W,R,W,W,W,W,R,R,R,W,R,W,W,W,W,W,W,W,W,W,W,W,R
921,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,R,R,R,W,W,R,R,W,R,R,R,R,R,R,W,W,R,W,R,W,R,W,R,R,W,W,W,R
1025,A2,19,Male,18-24,18-24.M,18-20,18-20.M,Psyc.NoClin,NoClin,Psyc,R,W,R,R,W,R,R,W,W,R,R,R,W,W,R,W,R,R,R,W,W,R,W,W,R,R,W,R,W,R,W,R,W
1041,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,W,R,R,W,R,R,W,R,R,R,W,W,R,R,R,W,W,R,R,R,W,R,R,W,R,W,R,R,R
1061,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,W,W,W,R,W,W,W,R,W,W,W,R,W,R,W,W,W,W,W,W,W,W,W,R,W,R,W
1064,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,W,R,R,R,R,W,R,W,R,W,W,R,R,R,R,R,R,W,R,R,R,R,R,R,R,W,R,W,W,W
1073,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,W,W,W,W,W,W,W,W,R,W,W,R,R,W,R,W,R,W,W,R,W,W,R,W,W,W,W,R
1077,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,R,W,R,W,R,R,R,W,R,W,W,W,W,R,W,W,R,W,W,W,R,W,W,W,W,W,W,W,W,W
1109,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,W,W,W,W,R,W,W,W,W,W,W,W,R,W,R,W,W,W,W,W,R,W,W,R,W,W,W,R
1131,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,R,R,R,W,R,R,R,W,R,R,W,R,R,R,W,W,W,R,W,R,R,W,W,W,W,W,W,R
1134,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,R,W,R,W,W,R,R,W,W,R,W,R,R,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1143,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,R,W,W,R,R,R,W,R,W,R,W,W,R,W,R,R,R,W,W,W,W,W,W,R,W,W,R,R,W,R,W
1145,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,W,R,W,W,R,R,R,R,R,R,R,W,W,W,W,W,W,R,W,W,R,W,R,R,W
1160,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,W,R,R,R,W,W,R,R,R,R,R,W,W,R,R,R,R,R,R,R,R,R,W,R,R
1163,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,R,R,R,W,R,W,W,W,W,W,R,W,W,W,W,W,W,W,W,W,W,R,W,W,W,W,W,W,R
1168,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,W,W,W,W,W,W,R,W,W,W,R,W,R,W,W,W,W,R,W,W,W,R,W,W,W,W,W,W
1260,A2,19,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,W,R,W,W,R,R,R,W,W,W,R,R,R,R,W,W,W,R,R,R,R,R,R,R,W,W,R,R
2,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,W,R,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,R,R,W,W,R,R,W,W,R,R,W,R,W,R
23,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,W,R,R,R,W,R,W,R,R,R,R,W,R,W,R,R,R,W,W,R,W,R,R,R,R,R,W,R,W,R,R
70,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,W,R,R,R,R,R,W,R,R,R,R,R,R,W,R,R,R,R,R,W,R,R,R,R,W,R,R,R,W,R,R
73,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,W,R,R,W,W,W,R,W,R,W,R,R,R,W,R,W,W,W,W,W,R,W,W,R,R,W,W,W,R
88,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,W,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,W,R,R,W,R,R,R,R,R,R,R,W,R,R
96,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,R,W,W,W,R,W,R,R,R,R,W,R,W,R,R,R,R,W,R,W,R,W,R,W,W,W,W,W,R,W
105,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,W,W,R,W,W,W,W,R,W,R,W,R,W,R,W,W,W,W,R,R,W,W,W,W,R,W,W,R
118,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,W,R,W,R,R,W,W,W,W,W,R,W,W,W,W,R,W,R,W,R,R,W,R,W,R,W,W,R,W,W,R,R
151,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,R,W,R,R,W,R,R,R,R,W,R,W,R,W,R,R,R,R,R,R,R,W,R,R,R,R,W,R,R,R,R,W
184,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,W,R,W,R,W,R,W,W,W,W,R,R,R,W,W,R,W,R,W,R,W,W,W,W,W,R,W
196,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,R,W,W,W,W,W,W,R,R,R,W,R,R,R,W,R,R,W,R,R,R,W,W,W,W,R,W,W,W,W
200,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,R,R,R,R,W,R,R,W,W,W,W,W,W,R,W,R,W,W,R,W,R,W,W,W,W,W,W,W,R,W
209,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,R,R,R,R,R,W,R,R,R,W,W,R,W,R,R,R,W,R,R,R,R,W,R,W,R,W,W,R,R,R
236,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,R,R,R,R,W,R,R,R,R,W,W,W,R,R,R,W,W,R,W,R,W,R,W,W,W,W,W,R,W
240,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,W,W,W,W,R,R,W,R,R,R,W,R,R,W,W,W,R,W,R,W,W,W,W,R,W,R,W,R,W,W,W,R,R
241,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,W,R,R,W,R,R,W,R,R,R,R,W,W,W,R,R,W,R,W,R,R,R,R,R,W,W,R,R,R,R
252,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,W,R,R,R,R,R,R,R,W,W,W,W,W,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,R,R
256,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,W,R,R,R,W,R,R,R,W,R,R,R,W,R,R,R,R,R,R,W,R,R,R,W,R
265,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,W,W,R,R,W,R,W,W,W,W,R,R,W,R,R,R,R,W,R,R,R,R,R,W,R,W,R,W,W,R
270,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,W,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,R,R
281,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,R,W,R,R,R,W,R,W,W,W,R,R,W,R,W,R,R,R,R,W,W,R,R,R,W,R,R,W,R,R
290,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,R,R,R,R,W,W,R,R,W,W,R,W,R,R,R,W,W,R,W,W,W,W,W,W,R,W,W,R,W
296,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,W,R,R,R,R,R,R,W,R,W,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,W,R,W,W,R,R
303,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,R,R,R,R,R,W,W,W,W,W,R,W,R,R,R,W,W,R,W,R,R,R,W,R,W,R,W,W,R
339,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,W,W,W,R,R,W,R,R,R,W,R,W,R,W,W,R,R,R,W,R,R,W,R,R,R,W,W,R,R,W,W,R
351,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,W,R,W,R,R,W,R,R,W,R,W,W,W,W,W,R,R,R,W,W,W,R,W,W,R,W,W,R,W,W,W,W
360,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,W,R,R,W,W,R,W,R,R,R,R,R,W,R,W,R,W,W,W,R,R,R,R,W,W,W,R,W,R,R
364,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,R,R,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,R,W,R,R,R,W,R,R,R,W,R,R
378,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,W,R,W,R,W,R,W,R,W,R,R,R,R,R,R,R,R,W,R,R,R,R,R,W,R,R,R,R,R
379,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,W,W,W,W,W,W,W,W,R,W,R,R,W,W,R,W,W,W,W,W,W,R,W,W,W,W,W,W
446,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,R,R,R,W,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,W,R,R,R,R,R,R,R,W,R,R,R,R
491,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,R,W,W,W,W,R,W,W,W,W,R,R,W,R,W,W,W,W,R,R,W,R,W,W,W,R,W
515,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,R,R,W,R,R,R,W,W,R,R,R,W,R,W,W,W,R,R,W,R,W,R,W,R,W,R,W
522,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,W,R,W,R,R,R,W,R,R,R,R,R,R,W,W,R,W,R,R,R,W,W,R,W,W,R,R
544,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,R,R,R,W,R,R,W,R,W,R,W,R,R,R,W,W,W,W,R,W,R,W,W,R,W,W,W,W
547,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,R,R,W,R,W,W,R,W,W,W,R,W,R,W,R,W,W,R,W,W,W,W,W,R,R,W,W,R,W
553,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,W,W,W,W,R,R,R,W,R,W,R,R,R,R,W,R,R,R,R,R,R,W,R,R,R,R,R,R,W,R,R,R
554,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,W,R,R,W,W,R,R,R,R,W,R,R,R,R,R,W,W,R,R,W,R,R,W,R,R,R,W,R,W
585,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,R,R,W,R,W,R,R,W,W,W,W,R,R,R,R,W,W,W,W,R,R,R,W,R,R,W,W,R,R
990,A1,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,R,R,R,W,R,R,R,W,R,W,R,W,R,R,W,W,W,R,R,W,W,W,R,R,R,R,R,W,R,W,W,R
1002,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,R,W,R,R,R,W,R,R,R,R,R,R,W,R,R,R,R,W,R,W,R,W,R,R,R,R,R,R,R,R
1004,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,W,R,W,R,R,R,W,W,R,R,R,W,W,R,W,W,R,R,W,R,R,R,R,R,R,R,R,W,R,R,R,R
1008,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,R,W,R,R,R,R,W,R,R,R,W,W,R,R,R,R,R,R,R,W,W,R,R,R,R,W,R,R,W,R,R
1010,A1,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,W,R,R,R,R,R,W,R,R,W,R,W,R,R,W,R,R,R,R,W,W,W,R,R,R,W,R,R,R,R,R,R
616,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,R,W,W,R,R,W,W,W,R,W,R,W,R,W,R,R,R,W,W,W,W,R,W,R,W,W,R,R,W,R,W
622,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,R,W,R,R,R,W,W,W,R,R,W,R,W,R,R,W,W,W,R,W,R,W,R,W,W,W,W,W,R,W
649,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,R,W,R,R,W,R,W,R,W,R,R,W,R,R,W,W,W,R,W,W,R,R,R,W,R,R,W,R,R
661,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,W,R,R,R,W,R,W,R,W,W,R,W,R,R,W,W,W,R,R,R,R,R,W,R,W,W,R,W,R
666,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,R,W,R,R,W,R,R,R,W,R,W,R,R,R,W,W,W,W,R,R,W,W,R,W,R,W,W,R
702,A2,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,W,W,R,W,W,R,W,W,W,R,R,W,R,W,W,R,R,W,W,W,R,W,W,W,R,R,W,R,W,W,R,W
739,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,W,W,R,W,R,W,W,W,W,W,W,W,W,W,R,R,R,W,W,W,R,W,W,R,W,W,W,W,W,W
744,A2,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,W,R,R,R,W,W,W,W,W,W,W,W,R,W,W,W,R,R,W,W,W,W,W,W,W,W,W,R,R,W,R,R
747,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,W,W,W,R,R,R,R,W,W,W,W,R,W,W,R,R,R,W,W,R,W,W,W,W,R,W,W,R,R,W,W,R,R
766,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,W,W,R,W,R,W,W,W,R,R,R,W,R,W,W,R,W,R,W,W,R,R,W,R,R,W,R,R,R,W,R,R
799,A2,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,W,R,R,R,R,R,R,W,W,W,W,R,W,R,R,R,W,W,W,W,W,R,R,R,R,W,W,R,R,R
823,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,R,R,R,R,R,W,R,W,R,W,W,W,R,R,W,R,W,W,W,W,R,W,R,W,R,R,R,W,R,R
832,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,R,W,R,W,R,R,R,R,R,W,R,R,R,R,R,R,W,W,R,R,R,W,R,W,R,R,R,R,R,W
841,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,W,R,W,W,R,R,R,W,W,R,R,W,R,W,R,R,W,W,W,W,W,W,W,R,R,W,W,W,W
859,A2,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,W,R,W,R,R,R,R,W,W,R,R,R,R,R,R,W,R,R,R,W,W,R,W,W,R,R,R,R,W,W,W,R,R
864,A2,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,W,W,W,R,R,R,W,W,R,R,R,R,W,W,W,R,R,R,W,R,W,W,W,W,W,W,R,W,W,W,R,R
867,A2,20,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,R,R,W,R,R,R,R,R,W,R,R,W,W,R,W,R,R,R,W,R,W,W,W,W,R,R,W,R,W,R,W,R
943,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,W,W,W,W,W,W,W,W,W,W,R,W,R,W,W,W,W,W,W,W,W,W,R,W,W,W,W,W
947,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,R,W,W,R,W,W,W,R,W,W,W,W,W,W,R,W,R,W,W,R,W,W,W,W,R,W,W
1045,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,R,W,R,W,W,R,R,W,W,R,W,R,W,W,W,W,W,W,W,W,R,W,W,W,R,R,W,R
1090,A2,20,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,R,W,R,R,R,W,R,W,W,W,R,R,R,R,R,R,R,R,R,W,W,W,R,R,R,R,R,R,W,W,R,R
